word,aoa,log_freq
a,2.8933839999999993,20415.274509803923
aardvark,9.89,0.4117647058823529
abacus,8.69,0.23529411764705882
abalone,12.23,0.5098039215686274
abandon,8.32,8.098039215686274
abandoner,11.89,0.0196078431372549
abandonment,10.27,0.9607843137254902
abase,14.57,0.058823529411764705
abasement,15.130969,NA
abate,14.44,0.09803921568627451
abatement,15.12,0.058823529411764705
abattoir,15.17,0.13725490196078433
abbacy,14.5,NA
abbess,15.43,0.0392156862745098
abbey,13.06,3.176470588235294
abbot,12.104381,0.8431372549019608
abbreviate,9.95,0.0196078431372549
abbreviated,10.5,0.3137254901960784
abbreviation,9.11,0.23529411764705882
abdicate,12.6,0.17647058823529413
abdication,14.94,0.11764705882352941
abdomen,8.61,3.3529411764705883
abdominal,10.24,3.411764705882353
abduct,11.26,0.7058823529411765
abduction,11.94,3.627450980392157
abductor,11.11,0.35294117647058826
abeam,13.4,0.13725490196078433
aberrant,13.31,0.29411764705882354
aberration,12.69,0.5490196078431373
abet,12.15,0.09803921568627451
abettor,15.55,0.0196078431372549
abeyance,15,0.0392156862745098
abhor,13.76,0.23529411764705882
abhorrent,12.14,0.17647058823529413
abide,9.5,2.7058823529411766
abiding,10.3,0.49019607843137253
ability,8.84,19.215686274509803
abject,14,0.39215686274509803
abjuration,17.12,NA
abjure,14.6,0.0196078431372549
ablation,13.29,0.0196078431372549
ablaze,10.83,0.4117647058823529
able,7.79,159.90196078431373
ablution,13.64,0.058823529411764705
abnormal,10.05,2.9019607843137254
abnormality,11.58,0.5098039215686274
aboard,8.66217,26.627450980392158
abode,12.06,0.6470588235294118
abolish,10.42,0.47058823529411764
abolition,13.28,0.19607843137254902
abolitionism,11.78,0.0196078431372549
abolitionist,12.6,0.21568627450980393
abominable,8.94,0.6274509803921569
abominate,15,0.058823529411764705
abomination,11.17,1.1372549019607843
aboriginal,14.75,0.17647058823529413
aborigine,12.56,0.0784313725490196
aborning,13.25,0.0196078431372549
abort,12.21,4.607843137254902
abortion,13.21,7.235294117647059
abortionist,15,0.0784313725490196
abortive,13.93,0.0196078431372549
abound,11.65,0.35294117647058826
about,5.070761000000001,3631.4901960784314
above,4.548568000000001,48.88235294117647
aboveboard,13,0.27450980392156865
aboveground,8.05,0.13725490196078433
abovementioned,14.24,0.0196078431372549
abracadabra,6.89,1.0392156862745099
abrade,14,0.0196078431372549
abrasion,11.95,0.35294117647058826
abrasive,12.22,0.45098039215686275
abrasiveness,12.06,0.0392156862745098
abreaction,15.8,0.0196078431372549
abreast,13.06,0.5098039215686274
abridge,14.35,0.0196078431372549
abridged,12.56,0.17647058823529413
abridgement,12.317521,0.0196078431372549
abroad,10.15415,4.901960784313726
abrogate,15.22,0.0196078431372549
